lon,lat,GSOCmap1.5.0
-77.115306,38.839806,18
-76.6213047,39.326212,12
-76.6180579,39.3253092,12
-76.6263905,39.324184700000004,19
-76.6194265,39.3519629,5
-76.6188471,39.3528954,5
-76.6178148,39.3496891,5
-76.6417958,39.3212027,12
-76.6415973,39.321979,18
-76.6444267,39.3204848,12
-76.6441182,39.319571,12
-76.6515768,39.2725685,6
-76.6527808,39.2731493,6
-76.6482257,39.271642,27
-76.5758902,39.332137,14
-76.5726679,39.3302272,12
-76.5708624,39.3294746,12
-76.5712121,39.3284985,12
-76.5739265,39.3328439,19
-76.5796275,39.3319241,14
-76.6944519,39.3042679,17
-76.6957974,39.3027325,17
-76.696591,39.3017521,17
-76.69476,39.3056304,17
-76.6949263,39.307208,17
-80.85421,33.49895,12
-82.2249,33.08826,87
-80.85672,33.56996,24
-81.97323,33.47755,24
-77.09718,36.43411,36
-107.8666,37.2805,25
-107.866667,37.280278,14
-108.055278,37.229167,31
-108.054767,37.229218,31
-107.872,37.274,14
-106.2660366,31.6781066,6
-106.50386,31.77391,10
-106.50203,31.76397,10
-106.45513,31.79024,10
-106.4577,31.78962,10
-106.40452,31.75547,6
-119.731121,36.883255,20
-119.842776,36.524636,19
-119.844327,36.522455,19
-119.845056,36.523365,19
-119.84267,36.525379,19
-119.692045,36.832175,22
-119.700831,36.848366,20
-84.3621,33.83261,19
-84.3641,33.83218,19
-84.36391,33.83221,19
-84.36409,33.83209,19
-84.351272,33.720117,19
-83.86084,33.59398,15
-74.06661,40.71637,5
-78.87576,38.08406,24
-78.87687,38.0856,24
-78.87622,38.0845,24
-78.90991,38.06631,24
-78.90738,38.06538,24
-74.080939,40.72464,46
-77.128242,39.114081,37
-77.12721,39.1158,37
-77.12852,39.11643,37
-77.126822,39.118353,37
-77.2958082,39.1924796,59
-77.2938525,39.1923697,59
-77.2909008,39.1951344,50
-77.2893639,39.195548,50
-77.2436929,39.2096095,27
-77.2439618,39.2099919,27
-77.2422723,39.2074954,23
-77.242564,39.2084737,27
-77.2053983,39.2108606,34
-77.2046218,39.2109581,34
-77.2025498,39.2019044,23
-77.201322,39.2023669,23
-77.2123519,39.2238459,23
-77.2126031,39.2238549,23
-77.1349229,39.1642713,37
-77.1327725,39.162704,37
-77.1305888,39.1637646,37
-77.128902,39.165766,37
-77.1481955,39.0351753,34
-77.1495557,39.0341792,34
-120.421913,37.365386,28
-93.35503,45.174393,26
-93.354853,45.174232,26
-93.354703,45.174059,26
-86.80898,36.16786,21
-86.80898,36.16786,21
-86.80893,36.1667,21
-86.80583,36.16632,24
-86.80754,36.16592,24
-100.755857,46.759593,57
-100.75502,46.75999,57
-100.7539972,46.7609345,57
-100.75618,46.763972,57
-100.75957,46.763836,109
-100.75822,46.76369,57
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-94.952778,35.891389,20
-94.95151,35.8909,32
-77.419,37.231667,68
-77.42225,37.229556,68
-77.413611,37.235556,30
-77.4133845,37.2348699,30
-77.416639,37.235278,30
-76.72894,40.20348,41
-76.72865,40.19287,35
-76.74527,40.20507,35
-76.74357,40.19899,28
-76.7385,40.20651,28
-122.3320589,47.6275429,44
-122.3302119,47.6274891,44
-122.064,36.95241,43
-122.06125,36.998778,73
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-116.4091989,33.669456,1
-116.3867086,33.7330671,20
